zone_id,elevation,flood_exposure,severity,day,intervention,drainage_weakness,infra_vuln,impact_score
Z10,0.5462722549880629,0.45372774501193713,3,2,0.31244860390709916,0.36574790508899846,0.889233413541784,0.5377
Z16,0.3670812144257525,0.6329187855742475,1,4,0.22658477738309069,0.9928452495880165,0.8515886563550316,0.5326
Z04,0.6267685159893849,0.3732314840106151,1,4,0.2815143879768992,0.2237081261308561,0.02656709202414198,0.236
Z19,0.3209819210908489,0.6790180789091511,1,1,0.7799874221264498,0.6115354421249843,0.34721414229261527,0.2348
Z07,0.5774051515343017,0.4225948484656983,2,5,0.3586699252038298,0.040368653929723,0.2908869442085593,0.3417
Z02,0.7060669879200819,0.29393301207991807,3,6,0.419095343859604,0.5304478453323721,0.45633569816446284,0.4661
Z21,0.24506633487159157,0.7549336651284084,2,5,0.6047387711726218,0.1289004529468386,0.466164559207471,0.3859
Z21,0.24506633487159157,0.7549336651284084,1,3,0.3899616458577,0.06928737096533155,0.43490624142045997,0.3392
Z03,0.6681009687423672,0.33189903125763276,1,6,0.7089667163184934,0.06270491969303116,0.05885409004285813,0.1151
Z21,0.24506633487159157,0.7549336651284084,1,7,0.07796256830738968,0.286224431240217,0.038861249073427806,0.4186
Z13,0.4530667876713712,0.5469332123286288,2,1,0.7984710481862048,0.3443198761938878,0.9504251238078778,0.3576
Z10,0.5462722549880629,0.45372774501193713,1,2,0.2013451725595039,0.4344799439644095,0.7907423723678659,0.3121
Z07,0.5774051515343017,0.4225948484656983,2,1,0.6856026694699558,0.22897128803995004,0.7073843329865445,0.2498
Z02,0.7060669879200819,0.29393301207991807,3,4,0.615295616802169,0.282707697320964,0.7649036533318129,0.4064
Z19,0.3209819210908489,0.6790180789091511,2,7,0.5616634007430682,0.8356703805278493,0.6729022552164149,0.5896
Z09,0.563682757950402,0.436317242049598,1,2,0.22021731683586931,0.09778503614310974,0.8244282651575444,0.2939
Z09,0.563682757950402,0.436317242049598,3,6,0.805271983979116,0.11338246631375337,0.6630753617688889,0.3615
Z02,0.7060669879200819,0.29393301207991807,1,3,0.9508481605787602,0.23843902712185494,0.5495692936950587,0.0976
Z02,0.7060669879200819,0.29393301207991807,2,6,0.8895545657385614,0.6012884529913192,0.6237503912596186,0.2823
Z04,0.6267685159893849,0.3732314840106151,2,6,0.022756825545942827,0.6158154083825486,0.7866807435171572,0.546
Z04,0.6267685159893849,0.3732314840106151,3,1,0.16812322630471233,0.6592455968378669,0.7145263269046438,0.5499
Z10,0.5462722549880629,0.45372774501193713,1,7,0.5204653033352975,0.7441374656805083,0.03388808125357723,0.3041
Z04,0.6267685159893849,0.3732314840106151,3,7,0.6686823650918524,0.452259754398773,0.33733877988234895,0.4077
Z02,0.7060669879200819,0.29393301207991807,3,5,0.07328539434957104,0.9376585969798955,0.14710451152925919,0.5649
Z09,0.563682757950402,0.436317242049598,3,4,0.9217292918441824,0.8157296584512991,0.8166549512240576,0.4155
Z04,0.6267685159893849,0.3732314840106151,2,6,0.23359095129277163,0.37710944426936543,0.4564787911356931,0.4423
